Started At,Duration,Preset,Activity
05/29/2022 23:54:27,0:5:19,,PracticeType.Meditation
05/29/2022 01:29:41,0:17:6,,PracticeType.Meditation
05/28/2022 00:24:39,0:11:32,,PracticeType.Meditation
05/26/2022 23:49:18,0:9:7,,PracticeType.Meditation
05/24/2022 23:41:24,0:16:3,,PracticeType.Meditation
05/22/2022 23:37:00,0:17:51,,PracticeType.Meditation
05/22/2022 00:14:09,0:7:23,,PracticeType.Meditation
05/18/2022 00:01:49,0:10:0,,PracticeType.Meditation
05/16/2022 00:23:49,0:11:56,,PracticeType.Meditation
05/16/2022 00:07:27,0:12:55,,PracticeType.Meditation
05/13/2022 23:44:58,0:11:28,,PracticeType.Meditation
05/12/2022 23:30:50,0:12:16,,PracticeType.Meditation
05/12/2022 00:08:49,0:11:55,,PracticeType.Meditation
05/11/2022 23:56:59,0:11:28,,PracticeType.Meditation
05/10/2022 22:35:29,0:11:53,,PracticeType.Meditation
05/09/2022 23:37:27,0:10:42,,PracticeType.Meditation
05/08/2022 23:41:23,0:10:36,,PracticeType.Meditation
05/08/2022 23:28:32,0:11:0,,PracticeType.Meditation
05/07/2022 23:33:05,0:22:21,,PracticeType.Meditation
05/06/2022 23:44:55,0:10:42,,PracticeType.Meditation
05/06/2022 23:21:23,0:22:43,,PracticeType.Meditation
05/06/2022 23:17:06,0:3:11,,PracticeType.Meditation
05/05/2022 23:53:08,0:19:32,,PracticeType.Meditation
05/04/2022 23:24:54,0:8:18,,PracticeType.Meditation
05/04/2022 13:23:18,0:19:8,,PracticeType.Meditation
05/04/2022 00:01:01,0:15:6,,PracticeType.Meditation
05/03/2022 23:38:48,0:19:17,,PracticeType.Meditation
05/02/2022 23:14:45,0:20:2,,PracticeType.Meditation
05/02/2022 00:02:48,0:9:29,,PracticeType.Meditation
05/01/2022 00:05:13,0:14:30,,PracticeType.Meditation
04/30/2022 23:36:58,0:18:53,,PracticeType.Meditation
04/30/2022 00:06:01,0:13:19,,PracticeType.Meditation
04/28/2022 23:44:39,0:11:47,,PracticeType.Meditation
04/27/2022 23:05:41,0:12:44,,PracticeType.Meditation
04/26/2022 23:06:19,0:30:15,,PracticeType.Meditation
04/26/2022 22:52:23,0:13:9,,PracticeType.Meditation
04/26/2022 20:56:01,0:19:2,,PracticeType.Meditation
04/26/2022 09:44:14,0:5:44,,PracticeType.Meditation
04/26/2022 09:19:56,0:22:50,,PracticeType.Meditation
04/26/2022 00:32:53,0:17:51,,PracticeType.Meditation
04/26/2022 00:16:52,0:14:55,,PracticeType.Meditation
04/25/2022 23:02:37,0:0:1,,PracticeType.Meditation
04/24/2022 00:14:47,0:17:51,,PracticeType.Meditation
04/23/2022 23:05:10,0:4:16,,PracticeType.Meditation
04/23/2022 22:52:20,0:12:2,,PracticeType.Meditation
04/22/2022 23:58:17,0:16:39,,PracticeType.Meditation
04/22/2022 00:35:01,0:21:41,,PracticeType.Meditation
04/22/2022 00:22:13,0:11:42,,PracticeType.Meditation
04/20/2022 23:48:43,0:23:45,,PracticeType.Meditation
04/19/2022 23:49:53,0:17:51,,PracticeType.Meditation
04/19/2022 23:35:39,0:12:22,,PracticeType.Meditation
04/18/2022 23:48:22,0:39:24,,PracticeType.Meditation
04/18/2022 14:31:33,0:12:3,,PracticeType.Meditation
04/18/2022 14:05:15,0:20:0,,PracticeType.Meditation
04/18/2022 13:04:41,0:26:6,,PracticeType.Meditation
04/17/2022 23:28:26,1:1:36,,PracticeType.Meditation
04/17/2022 00:16:15,0:17:51,,PracticeType.Meditation
04/14/2022 23:50:14,0:17:51,,PracticeType.Meditation
04/14/2022 21:32:02,0:13:4,,PracticeType.Meditation
04/14/2022 00:32:52,0:17:51,,PracticeType.Meditation
04/12/2022 23:51:24,0:33:46,,PracticeType.Meditation
04/12/2022 23:43:45,0:7:6,,PracticeType.Meditation
04/12/2022 23:25:16,0:17:51,,PracticeType.Meditation
04/12/2022 22:15:30,0:39:49,,PracticeType.Meditation
